date,cum_EL_return_512_with_cost,cum_ES_return_512_with_cost,cum_ELS_return_512_with_cost,cum_VL_return_512_with_cost,cum_VS_return_512_with_cost,cum_VLS_return_512_with_cost,cum_EL_return_512_without_cost,cum_ES_return_512_without_cost,cum_ELS_return_512_without_cost,cum_VL_return_512_without_cost,cum_VS_return_512_without_cost,cum_VLS_return_512_without_cost
2016-01-05,0.0018589940062392354,0.0018589940062392354,0.0037179880124784707,0.0025404173616211485,0.0025404173616211485,0.005080834723242297,0.0028589940062392354,0.0028589940062392354,0.005717988012478471,0.0035404173616211485,0.0035404173616211485,0.007080834723242297
2016-01-06,-0.0058957904771166705,-0.0058957904771166705,-0.011791580954233341,-0.013252791491101795,-0.013252791491101795,-0.02650558298220359,-0.00389579047711667,-0.00389579047711667,-0.00779158095423334,-0.011252791491101794,-0.011252791491101794,-0.02250558298220359
2016-01-07,-0.0295102874091024,-0.0295102874091024,-0.0590205748182048,-0.046755811655821114,-0.046755811655821114,-0.09351162331164223,-0.026510287409102398,-0.026510287409102398,-0.053020574818204796,-0.04375581165582112,-0.04375581165582112,-0.08751162331164224
2016-01-08,-0.043684054260280755,-0.043684054260280755,-0.08736810852056151,-0.047644223573023815,-0.047644223573023815,-0.09528844714604763,-0.03968405426028075,-0.03968405426028075,-0.0793681085205615,-0.043644223573023826,-0.043644223573023826,-0.08728844714604765
2016-01-11,-0.04139605137262479,-0.04139605137262479,-0.08279210274524958,-0.04793224889666509,-0.04793224889666509,-0.09586449779333019,-0.036396051372624784,-0.036396051372624784,-0.07279210274524957,-0.0429322488966651,-0.0429322488966651,-0.0858644977933302
2016-01-12,-0.04018891207242413,-0.04018891207242413,-0.08037782414484826,-0.04006589317464722,-0.04006589317464722,-0.08013178634929444,-0.034188912072424124,-0.034188912072424124,-0.06837782414484825,-0.03406589317464723,-0.03406589317464723,-0.06813178634929445
2016-01-13,-0.07012564772523894,-0.07012564772523894,-0.14025129545047788,-0.06490325737969026,-0.06490325737969026,-0.12980651475938051,-0.06312564772523893,-0.06312564772523893,-0.12625129545047786,-0.057903257379690265,-0.057903257379690265,-0.11580651475938053
2016-01-14,-0.048708201577895634,-0.048708201577895634,-0.09741640315579127,-0.039188201285246485,-0.039188201285246485,-0.07837640257049297,-0.04070820157789563,-0.04070820157789563,-0.08141640315579125,-0.03118820128524649,-0.03118820128524649,-0.06237640257049298
2016-01-15,-0.06758910782074795,-0.06758910782074795,-0.1351782156414959,-0.07643428399276045,-0.07643428399276045,-0.1528685679855209,-0.05858910782074794,-0.05858910782074794,-0.11717821564149589,-0.06743428399276045,-0.06743428399276045,-0.1348685679855209
2016-01-19,-0.06784793139203983,-0.06784793139203983,-0.13569586278407966,-0.08271689823688354,-0.08271689823688354,-0.16543379647376708,-0.057847931392039816,-0.057847931392039816,-0.11569586278407963,-0.07271689823688354,-0.07271689823688354,-0.14543379647376709
2016-01-20,-0.06973880765039948,-0.06973880765039948,-0.13947761530079897,-0.08198754038707384,-0.08198754038707384,-0.16397508077414769,-0.058738807650399474,-0.058738807650399474,-0.11747761530079895,-0.07098754038707385,-0.07098754038707385,-0.1419750807741477
2016-01-21,-0.08149318937327475,-0.08149318937327475,-0.1629863787465495,-0.08798288345008654,-0.08798288345008654,-0.17596576690017307,-0.06949318937327474,-0.06949318937327474,-0.13898637874654948,-0.07598288345008654,-0.07598288345008654,-0.15196576690017308
2016-01-22,-0.056131653920237175,-0.056131653920237175,-0.11226330784047435,-0.056478669356240345,-0.056478669356240345,-0.11295733871248069,-0.04313165392023716,-0.04313165392023716,-0.08626330784047433,-0.04347866935624035,-0.04347866935624035,-0.0869573387124807
